Model,Accuracy,Precision,Recall,F1,Feature Set
Logistic Regression,0.8,0.7987540649531613,0.8,0.7984704108482832,ETC
SVM,0.7901234567901234,0.7908730001540458,0.7901234567901234,0.7893032796446428,ETC
Gradient Boosting,0.7654320987654321,0.7678664943360126,0.7654320987654321,0.7663045240518386,ETC
Random Forest,0.7506172839506173,0.753958444869771,0.7506172839506173,0.7491503940315446,ETC
KNN,0.6987654320987654,0.7008389588195437,0.6987654320987654,0.6954692764100908,ETC
Decision Tree,0.6518518518518519,0.6625984939225199,0.6518518518518519,0.6531230846908919,ETC
Logistic Regression,0.7679012345679013,0.7717094703533359,0.7679012345679013,0.7688258622025148,FSCS
Gradient Boosting,0.7604938271604939,0.7665655792851019,0.7604938271604939,0.7613011099186701,FSCS
SVM,0.7604938271604939,0.7648758523199597,0.7604938271604939,0.76142194468571,FSCS
Random Forest,0.7382716049382716,0.7468415072573199,0.7382716049382716,0.7385107333254094,FSCS
KNN,0.6617283950617284,0.6645980285002193,0.6617283950617284,0.6590360002381794,FSCS
Decision Tree,0.6567901234567901,0.657776933796088,0.6567901234567901,0.6550807153616163,FSCS
Logistic Regression,0.7876543209876543,0.7876156470428777,0.7876543209876543,0.7857719708975298,MI
SVM,0.762962962962963,0.765043336115074,0.762962962962963,0.763226082591213,MI
Gradient Boosting,0.7333333333333333,0.7336399703198511,0.7333333333333333,0.7321530813204208,MI
Random Forest,0.7283950617283951,0.7322368989035656,0.7283950617283951,0.7291584592261208,MI
KNN,0.7061728395061728,0.7069618652550005,0.7061728395061728,0.699540545492003,MI
Decision Tree,0.6,0.5964931399735074,0.6,0.5978703131947702,MI
Logistic Regression,0.7703703703703704,0.7697539464461559,0.7703703703703704,0.7698481837759878,MIR
Random Forest,0.7530864197530864,0.7540035797952378,0.7530864197530864,0.7533778970042099,MIR
Gradient Boosting,0.7481481481481481,0.7476798206631285,0.7481481481481481,0.7470344566431874,MIR
SVM,0.745679012345679,0.7454096603586527,0.745679012345679,0.7451173392731347,MIR
KNN,0.691358024691358,0.6950041948511213,0.691358024691358,0.686164278389218,MIR
Decision Tree,0.6790123456790124,0.6797820889672741,0.6790123456790124,0.679198602309884,MIR
Logistic Regression,0.7283950617283951,0.7324378910080891,0.7283950617283951,0.7291389677517667,MU
SVM,0.7234567901234568,0.7282516728928716,0.7234567901234568,0.7243622570178327,MU
Random Forest,0.7209876543209877,0.7265882095110874,0.7209876543209877,0.7221103344231896,MU
Gradient Boosting,0.7061728395061728,0.7071640419218476,0.7061728395061728,0.7061752508840755,MU
Decision Tree,0.6518518518518519,0.6586303102000051,0.6518518518518519,0.6539090374354058,MU
KNN,0.6395061728395062,0.646249445712846,0.6395061728395062,0.6387872151002008,MU
Logistic Regression,0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,PC
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,PC
Gradient Boosting,0.7407407407407407,0.7398109083049174,0.7407407407407407,0.7391430865904703,PC
Random Forest,0.7333333333333333,0.7341177725477243,0.7333333333333333,0.7331237865228913,PC
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,PC
Decision Tree,0.6123456790123457,0.6143698614112134,0.6123456790123457,0.6090480467913996,PC
Logistic Regression,0.7876543209876543,0.7886274129339851,0.7876543209876543,0.7871443551932665,RFE
SVM,0.7753086419753087,0.7779815650595793,0.7753086419753087,0.7747174599193378,RFE
Random Forest,0.7530864197530864,0.757006336923491,0.7530864197530864,0.7518617346195852,RFE
Gradient Boosting,0.7358024691358025,0.7393271898229653,0.7358024691358025,0.735712304154863,RFE
KNN,0.7185185185185186,0.7209094539232521,0.7185185185185186,0.7155153283395099,RFE
Decision Tree,0.6765432098765433,0.6783805305981134,0.6765432098765433,0.6746185948102149,RFE
Logistic Regression,0.7901234567901234,0.791502472129668,0.7901234567901234,0.7890148834596109,SKB
SVM,0.7753086419753087,0.7764764522312346,0.7753086419753087,0.7754009579206504,SKB
Gradient Boosting,0.7432098765432099,0.7423291532614339,0.7432098765432099,0.7414733879242686,SKB
Random Forest,0.7308641975308642,0.7324570871182022,0.7308641975308642,0.7308459166945049,SKB
KNN,0.6666666666666666,0.6666209273811886,0.6666666666666666,0.6600883194794641,SKB
Decision Tree,0.6074074074074074,0.6081421650395612,0.6074074074074074,0.6060385089968079,SKB
Logistic Regression,0.8049382716049382,0.8050983081847279,0.8049382716049382,0.8041277897313581,VT
SVM,0.7975308641975308,0.798466146613352,0.7975308641975308,0.796489268193943,VT
Gradient Boosting,0.7703703703703704,0.770837818583192,0.7703703703703704,0.7693757760861226,VT
Random Forest,0.7308641975308642,0.731416200825493,0.7308641975308642,0.7300805558327773,VT
KNN,0.6790123456790124,0.6786721158427291,0.6790123456790124,0.6711844776048689,VT
Decision Tree,0.6419753086419753,0.6480393025118297,0.6419753086419753,0.6440723719392667,VT
